"Date","Price","Open","High","Low","Vol.","Change %"
"11/14/2025","95.26","94.88","95.53","94.78","17.40M","-0.28%"
"11/13/2025","95.53","96.35","96.46","95.43","15.86M","-1.07%"
"11/12/2025","96.56","96.31","96.69","96.31","9.53M","0.59%"
"11/11/2025","95.99","95.67","96.14","95.67","12.96M","0.73%"
"11/10/2025","95.29","94.86","95.35","94.59","15.68M","1.05%"
"11/07/2025","94.30","93.57","94.32","93.34","13.98M","0.37%"
"11/06/2025","93.95","94.27","94.36","93.71","16.18M","-0.22%"
"11/05/2025","94.16","93.68","94.32","93.67","12.45M","0.64%"
"11/04/2025","93.56","93.53","94.03","93.44","10.35M","-1.03%"
"11/03/2025","94.53","94.56","94.64","94.26","10.68M","0.04%"
"10/31/2025","94.49","94.59","94.61","94.13","19.46M","-0.22%"
"10/30/2025","94.70","94.57","95.08","94.50","13.97M","-0.44%"
"10/29/2025","95.12","95.66","95.75","94.64","17.91M","-0.56%"
"10/28/2025","95.66","95.63","95.95","95.46","9.19M","-0.04%"
"10/27/2025","95.70","95.56","95.73","95.48","10.61M","0.69%"
"10/24/2025","95.04","95.08","95.21","94.93","8.97M","0.16%"
"10/23/2025","94.89","94.62","95.00","94.62","10.58M","0.47%"
"10/22/2025","94.45","94.60","94.76","94.05","15.03M","-0.15%"
"10/21/2025","94.59","94.86","95.00","94.55","16.64M","-0.73%"
"10/20/2025","95.29","94.94","95.38","94.93","12.95M","0.83%"
"10/17/2025","94.51","94.04","94.57","93.92","16.79M","0.18%"
"10/16/2025","94.34","94.42","94.74","94.00","24.97M","0.52%"
"10/15/2025","93.85","93.86","94.13","93.32","15.01M","0.48%"
"10/14/2025","93.40","92.45","93.68","92.33","15.12M","0.45%"
"10/13/2025","92.98","92.65","93.08","92.53","11.13M","0.80%"
"10/10/2025","92.24","93.69","93.77","92.11","26.14M","-1.84%"
"10/09/2025","93.97","94.79","94.79","93.74","10.57M","-0.82%"
"10/08/2025","94.75","94.79","94.93","94.55","11.16M","0.30%"
"10/07/2025","94.47","94.96","95.01","94.43","9.07M","-0.87%"
"10/06/2025","95.30","95.25","95.53","95.14","12.81M","0.23%"
"10/03/2025","95.08","94.97","95.26","94.85","13.99M","0.84%"
"10/02/2025","94.29","94.54","94.60","93.87","15.30M","0.16%"
"10/01/2025","94.14","93.88","94.27","93.86","17.17M","0.82%"
"09/30/2025","93.37","92.89","93.46","92.86","24.29M","0.41%"
"09/29/2025","92.99","92.92","93.06","92.76","13.81M","0.39%"
"09/26/2025","92.63","92.31","92.64","92.22","18.14M","0.77%"
"09/25/2025","91.92","91.94","92.02","91.53","22.43M","-0.71%"
"09/24/2025","92.58","92.69","92.92","92.46","14.91M","-0.58%"
