"Date","Price","Open","High","Low","Vol.","Change %"
"11/14/2025","89.59","89.63","89.74","89.10","3.66M","0.21%"
"11/13/2025","89.40","90.03","90.40","89.25","3.73M","-1.23%"
"11/12/2025","90.51","90.75","91.17","90.48","3.65M","-0.75%"
"11/11/2025","91.19","90.51","91.26","90.49","3.19M","1.12%"
"11/10/2025","90.18","90.02","90.58","89.64","3.40M","-0.06%"
"11/07/2025","90.23","89.04","90.25","88.94","5.28M","1.55%"
"11/06/2025","88.85","89.19","89.55","88.82","3.42M","-0.48%"
"11/05/2025","89.28","89.48","89.57","88.74","2.89M","0.09%"
"11/04/2025","89.20","89.24","89.32","88.76","4.06M","0.17%"
"11/03/2025","89.05","88.20","89.14","87.86","4.52M","-0.15%"
"10/31/2025","89.18","88.50","89.47","88.17","3.98M","0.26%"
"10/30/2025","88.95","88.46","89.55","88.20","5.18M","0.47%"
"10/29/2025","88.53","90.20","90.36","88.23","5.65M","-2.58%"
"10/28/2025","90.87","92.47","92.47","90.80","4.64M","-1.96%"
"10/27/2025","92.69","92.49","92.72","92.08","2.92M","0.28%"
"10/24/2025","92.43","92.82","92.93","92.43","2.62M","0.29%"
"10/23/2025","92.16","92.32","92.57","91.39","2.69M","-0.07%"
"10/22/2025","92.22","92.11","92.37","91.68","2.49M","0.42%"
"10/21/2025","91.83","92.00","92.44","91.68","2.83M","-0.28%"
"10/20/2025","92.09","91.60","92.11","91.39","2.04M","1.01%"
"10/17/2025","91.17","90.54","91.28","90.26","2.95M","0.65%"
"10/16/2025","90.58","91.07","91.43","90.38","3.72M","-0.35%"
"10/15/2025","90.90","89.91","91.16","89.84","3.03M","1.45%"
"10/14/2025","89.60","88.57","89.74","88.39","3.05M","1.03%"
"10/13/2025","88.69","88.21","88.78","88.08","2.81M","0.64%"
"10/10/2025","88.13","89.52","89.69","88.09","4.00M","-1.28%"
"10/09/2025","89.27","89.93","89.99","89.04","3.12M","-0.55%"
"10/08/2025","89.76","89.82","90.10","89.53","3.33M","-0.52%"
"10/07/2025","90.23","90.63","90.81","89.85","4.55M","-0.36%"
"10/06/2025","90.56","91.48","91.50","90.53","4.15M","-0.94%"
"10/03/2025","91.42","91.20","92.16","91.20","2.50M","0.37%"
"10/02/2025","91.08","91.36","91.36","90.51","4.19M","-0.52%"
"10/01/2025","91.56","91.37","91.88","91.25","2.93M","0.15%"
"09/30/2025","91.42","91.07","91.49","90.79","3.00M","0.41%"
"09/29/2025","91.05","91.12","91.23","90.65","3.16M","0.03%"
"09/26/2025","91.02","90.50","91.18","90.30","5.43M","0.99%"
"09/25/2025","90.13","90.39","90.75","90.06","4.25M","-0.30%"
"09/24/2025","90.40","91.22","91.26","90.39","2.71M","-1.92%"
"09/23/2025","92.17","91.79","92.39","91.67","3.42M","0.55%"
"09/22/2025","91.67","91.68","91.87","91.09","3.65M","0.02%"
"09/19/2025","91.65","92.37","92.49","91.65","3.08M","-0.65%"
"09/18/2025","92.25","92.16","92.64","91.94","2.97M","0.22%"
"09/17/2025","92.05","92.45","93.58","91.95","4.57M","-0.13%"
"09/16/2025","92.17","92.65","92.80","91.91","3.26M","-0.53%"
"09/15/2025","92.66","93.11","93.24","92.39","2.75M","-0.16%"
"09/12/2025","92.81","93.18","93.33","92.71","2.17M","-0.46%"
"09/11/2025","93.24","91.83","93.42","91.75","2.67M","1.82%"
"09/10/2025","91.57","91.73","92.26","91.42","2.24M","-0.16%"
"09/09/2025","91.72","91.67","91.75","91.33","2.53M","-0.23%"
"09/08/2025","91.93","91.54","91.94","91.24","2.88M","-0.58%"
"09/05/2025","92.47","92.07","92.92","91.83","3.45M","1.13%"
