Categoría: Todas las categorías

Mes,bull market: (Todo el mundo)
2004-01,18
2004-02,19
2004-03,22
2004-04,20
2004-05,21
2004-06,16
2004-07,11
2004-08,17
2004-09,14
2004-10,16
2004-11,19
2004-12,13
2005-01,13
2005-02,18
2005-03,18
2005-04,20
2005-05,15
2005-06,15
2005-07,13
2005-08,13
2005-09,15
2005-10,17
2005-11,15
2005-12,16
2006-01,16
2006-02,18
2006-03,18
2006-04,17
2006-05,20
2006-06,17
2006-07,13
2006-08,12
2006-09,13
2006-10,14
2006-11,14
2006-12,14
2007-01,15
2007-02,19
2007-03,17
2007-04,14
2007-05,16
2007-06,15
2007-07,14
2007-08,18
2007-09,15
2007-10,18
2007-11,18
2007-12,16
2008-01,20
2008-02,18
2008-03,18
2008-04,18
2008-05,16
2008-06,13
2008-07,18
2008-08,14
2008-09,18
2008-10,30
2008-11,20
2008-12,17
2009-01,16
2009-02,17
2009-03,23
2009-04,24
2009-05,25
2009-06,16
2009-07,14
2009-08,15
2009-09,18
2009-10,16
2009-11,17
2009-12,15
2010-01,14
2010-02,14
2010-03,18
2010-04,16
2010-05,17
2010-06,13
2010-07,13
2010-08,13
2010-09,14
2010-10,16
2010-11,17
2010-12,15
2011-01,16
2011-02,16
2011-03,16
2011-04,16
2011-05,14
2011-06,12
2011-07,11
2011-08,18
2011-09,14
2011-10,17
2011-11,13
2011-12,13
2012-01,14
2012-02,16
2012-03,15
2012-04,13
2012-05,15
2012-06,11
2012-07,11
2012-08,11
2012-09,13
2012-10,14
2012-11,13
2012-12,12
2013-01,15
2013-02,16
2013-03,18
2013-04,17
2013-05,17
2013-06,12
2013-07,11
2013-08,11
2013-09,13
2013-10,14
2013-11,15
2013-12,14
2014-01,16
2014-02,17
2014-03,18
2014-04,16
2014-05,16
2014-06,14
2014-07,14
2014-08,14
2014-09,16
2014-10,16
2014-11,16
2014-12,16
2015-01,16
2015-02,17
2015-03,19
2015-04,17
2015-05,16
2015-06,13
2015-07,15
2015-08,20
2015-09,18
2015-10,17
2015-11,17
2015-12,16
2016-01,24
2016-02,21
2016-03,19
2016-04,18
2016-05,16
2016-06,13
2016-07,17
2016-08,13
2016-09,13
2016-10,14
2016-11,18
2016-12,16
2017-01,17
2017-02,18
2017-03,22
2017-04,17
2017-05,17
2017-06,14
2017-07,16
2017-08,16
2017-09,18
2017-10,19
2017-11,20
2017-12,21
2018-01,25
2018-02,24
2018-03,21
2018-04,18
2018-05,17
2018-06,15
2018-07,16
2018-08,25
2018-09,19
2018-10,22
2018-11,20
2018-12,24
2019-01,20
2019-02,22
2019-03,21
2019-04,20
2019-05,18
2019-06,17
2019-07,17
2019-08,21
2019-09,21
2019-10,19
2019-11,18
2019-12,22
2020-01,24
2020-02,26
2020-03,58
2020-04,43
2020-05,33
2020-06,33
2020-07,28
2020-08,32
2020-09,30
2020-10,32
2020-11,36
2020-12,32
2021-01,40
2021-02,42
2021-03,34
2021-04,39
2021-05,42
2021-06,30
2021-07,26
2021-08,27
2021-09,27
2021-10,30
2021-11,32
2021-12,27
2022-01,36
2022-02,29
2022-03,33
2022-04,29
2022-05,35
2022-06,36
2022-07,33
2022-08,38
2022-09,32
2022-10,32
2022-11,32
2022-12,34
2023-01,46
2023-02,43
2023-03,41
2023-04,45
2023-05,44
2023-06,69
2023-07,57
2023-08,79
2023-09,65
2023-10,81
2023-11,67
2023-12,75
2024-01,75
2024-02,59
2024-03,64
2024-04,51
2024-05,65
2024-06,46
2024-07,55
2024-08,53
2024-09,45
2024-10,46
2024-11,52
2024-12,50
2025-01,47
2025-02,43
2025-03,39
2025-04,42
2025-05,34
2025-06,35
2025-07,46
2025-08,100
2025-09,75
2025-10,69
2025-11,39
