date,BAMLCC0A0CMTRIV
2007-01-01,
2007-01-02,1616.69
2007-01-03,1619.69
2007-01-04,1624.39
2007-01-05,1622.36
2007-01-08,1622.51
2007-01-09,1622.99
2007-01-10,1620.93
2007-01-11,1616.14
2007-01-12,1613.3
2007-01-15,1614.08
2007-01-16,1616.5
2007-01-17,1613.38
2007-01-18,1616.96
2007-01-19,1615.51
2007-01-22,1617.59
2007-01-23,1614.21
2007-01-24,1614.2
2007-01-25,1609.71
2007-01-26,1608.6
2007-01-29,1608.49
2007-01-30,1609.86
2007-01-31,1614.72
2007-02-01,1613.97
2007-02-02,1615.22
2007-02-05,1618.14
2007-02-06,1622.52
2007-02-07,1625.25
2007-02-08,1626.38
2007-02-09,1621.81
2007-02-12,1621.06
2007-02-13,1620.19
2007-02-14,1628.2
2007-02-15,1631.16
2007-02-16,1633.23
2007-02-19,1634.02
2007-02-20,1635.38
2007-02-21,1634.79
2007-02-22,1631.28
2007-02-23,1636.61
2007-02-26,1641.99
2007-02-27,1651.76
2007-02-28,1647.49
2007-03-01,1647.55
2007-03-02,1650.92
2007-03-05,1648.92
2007-03-06,1648.31
2007-03-07,1651.14
2007-03-08,1651.12
2007-03-09,1643.54
2007-03-12,1647.91
2007-03-13,1652.1
2007-03-14,1648.96
2007-03-15,1648.03
2007-03-16,1647.19
2007-03-19,1645.66
2007-03-20,1646.93
2007-03-21,1649.91
2007-03-22,1643.46
2007-03-23,1641.54
2007-03-26,1644.71
2007-03-27,1642.52
2007-03-28,1641.51
2007-03-29,1640.76
2007-03-30,1639.23
2007-03-31,1639.46
2007-04-02,1640.71
2007-04-03,1638.97
2007-04-04,1639.97
2007-04-05,1637.96
2007-04-06,
2007-04-09,1632.81
2007-04-10,1635.81
2007-04-11,1635.2
2007-04-12,1635.57
2007-04-13,1633.69
2007-04-16,1637.23
2007-04-17,1642.23
2007-04-18,1646.07
2007-04-19,1644.97
2007-04-20,1645.25
2007-04-23,1648.07
2007-04-24,1651.23
2007-04-25,1648.76
2007-04-26,1644.92
2007-04-27,1644.03
2007-04-30,1651.59
2007-05-01,1651.02
2007-05-02,1650.7
2007-05-03,1648.35
2007-05-04,1651.95
2007-05-07,1653.23
2007-05-08,1653.53
2007-05-09,1649.86
2007-05-10,1652.01
2007-05-11,1650.26
2007-05-14,1649.93
2007-05-15,1648.01
2007-05-16,1648.91
2007-05-17,1644.69
2007-05-18,1640.6
2007-05-21,1642.64
2007-05-22,1639.0
2007-05-23,1636.67
2007-05-24,1637.25
2007-05-25,1637.02
2007-05-28,
2007-05-29,1636.02
2007-05-30,1636.27
2007-05-31,1635.24
2007-06-01,1629.64
2007-06-04,1633.69
2007-06-05,1629.23
2007-06-06,1629.37
2007-06-07,1616.81
2007-06-08,1615.13
2007-06-11,1614.54
2007-06-12,1604.62
2007-06-13,1609.71
2007-06-14,1608.44
2007-06-15,1612.98
2007-06-18,1616.02
2007-06-19,1621.52
2007-06-20,1617.96
2007-06-21,1614.1
2007-06-22,1616.55
2007-06-25,1622.7
2007-06-26,1619.92
2007-06-27,1622.63
2007-06-28,1618.68
2007-06-29,1627.12
2007-06-30,1627.38
2007-07-02,1630.75
2007-07-03,1626.49
2007-07-04,1626.75
