date,NFCI
2007-01-05,-0.64693
2007-01-12,-0.65992
2007-01-19,-0.67208
2007-01-26,-0.68131
2007-02-02,-0.68488
2007-02-09,-0.68323
2007-02-16,-0.67538
2007-02-23,-0.66281
2007-03-02,-0.64712
2007-03-09,-0.63269
2007-03-16,-0.62061
2007-03-23,-0.61239
2007-03-30,-0.6066
2007-04-06,-0.60291
2007-04-13,-0.5993
2007-04-20,-0.59488
2007-04-27,-0.58833
2007-05-04,-0.57955
2007-05-11,-0.57099
2007-05-18,-0.56202
2007-05-25,-0.55353
2007-06-01,-0.54711
2007-06-08,-0.54405
2007-06-15,-0.54035
2007-06-22,-0.53496
2007-06-29,-0.52288
2007-07-06,-0.4982
2007-07-13,-0.45364
2007-07-20,-0.38542
2007-07-27,-0.29177
2007-08-03,-0.17992
2007-08-10,-0.05973
2007-08-17,0.0584
2007-08-24,0.15312
2007-08-31,0.20504
2007-09-07,0.22109
2007-09-14,0.19746
2007-09-21,0.14083
2007-09-28,0.07567
2007-10-05,0.0151
2007-10-12,-0.02522
2007-10-19,-0.03206
2007-10-26,-0.00143
2007-11-02,0.06535
2007-11-09,0.16328
2007-11-16,0.27404
2007-11-23,0.38645
2007-11-30,0.47977
2007-12-07,0.54269
2007-12-14,0.56924
2007-12-21,0.55877
2007-12-28,0.51917
2008-01-04,0.47146
2008-01-11,0.42667
2008-01-18,0.40301
2008-01-25,0.41048
2008-02-01,0.44026
2008-02-08,0.50166
2008-02-15,0.58642
2008-02-22,0.68558
2008-02-29,0.78582
2008-03-07,0.87748
2008-03-14,0.93884
2008-03-21,0.96354
2008-03-28,0.94319
2008-04-04,0.89038
2008-04-11,0.81669
2008-04-18,0.73442
2008-04-25,0.64885
2008-05-02,0.57376
2008-05-09,0.51911
2008-05-16,0.4866
2008-05-23,0.48163
2008-05-30,0.50284
2008-06-06,0.54849
2008-06-13,0.60248
2008-06-20,0.65895
2008-06-27,0.71114
2008-07-04,0.74352
2008-07-11,0.75249
2008-07-18,0.74265
2008-07-25,0.71432
2008-08-01,0.68354
2008-08-08,0.66779
2008-08-15,0.6754
2008-08-22,0.73108
2008-08-29,0.83891
2008-09-05,1.00628
2008-09-12,1.22714
2008-09-19,1.51088
2008-09-26,1.79227
2008-10-03,2.0729
2008-10-10,2.32446
2008-10-17,2.52005
2008-10-24,2.66194
2008-10-31,2.78294
2008-11-07,2.8755
2008-11-14,2.95603
2008-11-21,3.03278
2008-11-28,3.05978
2008-12-05,3.05317
2008-12-12,2.9887
2008-12-19,2.8645
2008-12-26,2.70512
2009-01-02,2.55236
2009-01-09,2.40001
2009-01-16,2.27649
2009-01-23,2.18654
2009-01-30,2.12692
2009-02-06,2.09672
2009-02-13,2.09733
