date,headline,storyId,sourceCode,ticker
2024-12-12 11:30:38.409,Electricite Et Eaux De Madagascar (EEM.PA) is trading -5.92 percent lower on Thursday 12th of December and has a trading volume of EUR 5.9 k,urn:newsml:newsroom:20241212:nNRAusaou2:0,NS:STOCKP,EEM
2024-12-12 22:11:57.518,Viktoria Plzen vs Man Utd LIVE: Europa League result and reaction as Hojlund brace ensures win,urn:newsml:reuters.com:20241212:nNRAusenwc:8,NS:INDEPE,EEM
2024-12-19 16:30:11.465,With a trading volume of EUR 2 k EEM.PA trades -4.19 percent lower today,urn:newsml:newsroom:20241219:nNRAuuzqyf:0,NS:STOCKP,EEM
2024-12-20 17:27:28.817,"Electricite et Eaux De Madagascar (EEM: EUR3.38) soars 10% on rising relative strength, hits 49-day high; +32c [10.5%]",urn:newsml:newsroom:20241220:nNRAuvfp16:0,NS:NEWFRA,EEM
2024-12-20 17:48:20.467,"FRENCH EQUITY INVESTMENT INSTRUMENTS SECTOR TOP 1 DAILY: TOP MOMENTUM UP IN THE PAST WEEK End-of-day: Friday December 20, 2024 16:00 (EST: 10:00, G...",urn:newsml:newsroom:20241220:nNRAuvg3wi:0,NS:NEWFRA,EEM
2024-12-26 05:23:55.611,Electricite Et Eaux De Madagascar trades 2.96 percent higher on Thursday 26th of December,urn:newsml:newsroom:20241226:nNRAuwyzhi:0,NS:STOCKP,EEM
2024-12-26 21:58:48.537,Electricite Et Eaux De Madagascar trades 2.96 percent higher on Thursday 26th of December,urn:newsml:newsroom:20241226:nNRAux84ld:0,NS:STOCKP,EEM
2024-12-27 17:22:19.248,"Electricite et Eaux De Madagascar (EEM: EUR3.96) accelerates rise, up 17% in 2 days; +58c [17.2%] Vol Index 2.2 [1 is avg]",urn:newsml:newsroom:20241227:nNRAuxjycj:0,NS:NEWFRA,EEM
2024-12-27 17:37:16.629,"FRENCH EQUITY INVESTMENT INSTRUMENTS SECTOR TOP 2 DAILY: TOP MOMENTUM UP IN THE PAST WEEK End-of-day: Friday December 27, 2024 16:00 (EST: 10:00, G...",urn:newsml:newsroom:20241227:nNRAuxk8ic:0,NS:NEWFRA,EEM
2024-12-30 17:37:05.606,"FRENCH EQUITY INVESTMENT INSTRUMENTS SECTOR TOP 1 DAILY: TOP MOMENTUM UP IN THE PAST WEEK End-of-day: Monday December 30, 2024 16:00 (EST: 10:00, G...",urn:newsml:newsroom:20241230:nNRAuyam2s:0,NS:NEWFRA,EEM
2024-12-31 00:53:44.895,On Monday 30th of December Electricite Et Eaux De Madagascar trades 13.79 percent higher,urn:newsml:newsroom:20241231:nNRAuyechk:0,NS:STOCKP,EEM
2024-12-31 17:23:06.394,On Tuesday 31st of December Electricite Et Eaux De Madagascar trades 0.51 percent higher,urn:newsml:newsroom:20241231:nNRAuyniwz:0,NS:STOCKP,EEM
2025-01-02 13:50:53.239,REG-Nombre total de droits de vote et d'actions composant le capital social au 31 décembre 2024,urn:newsml:reuters.com:20250102:nGNE1Wydxf:1,NS:GNW,EEM
2025-01-02 13:55:14.000,Electricité et Eaux de Madagascar SA - Nombre total de droits de vote et d'actions composant le capital social au 31 décembre 2024,urn:newsml:reuters.com:20250102:nNDL1KM4RM:1,NS:PUBT,EEM
2025-01-02 16:09:25.000,Electricité et Eaux de Madagascar SA - Nombre total de droits de vote et d'actions composant le capital social au 31 décembre 2024,urn:newsml:reuters.com:20250102:nNDLc2Kcc0:1,NS:PUBT,EEM
2025-01-03 17:12:14.170,Electricite et Eaux De Madagascar (EEM: EUR3.42) plummets 14%; -56c [14.1%],urn:newsml:newsroom:20250103:nNRAuzllob:0,NS:NEWFRA,EEM
2025-01-08 23:13:48.892,Electricite Et Eaux De Madagascar (EEM.PA) is trading 0 percent unchanged on Wednesday 8th of January and has a trading volume of EUR 398,urn:newsml:newsroom:20250108:nNRAv19m68:0,NS:STOCKP,EEM
2025-01-11 09:15:57.665,Electricite Et Eaux De Madagascar is trading 0 percent unchanged with a volume of EUR 200 on Saturday 11th of January,urn:newsml:newsroom:20250111:nNRAv257q5:0,NS:STOCKP,EEM
2025-01-13 17:11:58.586,Electricite et Eaux De Madagascar surges 31% in past 3 months,urn:newsml:newsroom:20250113:nNRAv2opx6:0,NS:GLORDP,EEM
2025-01-13 19:01:58.781,Electricite Et Eaux De Madagascar (EEM.PA) is trading 0 percent unchanged on Monday 13th of January and has a trading volume of EUR 148,urn:newsml:newsroom:20250113:nNRAv2q8di:0,NS:STOCKP,EEM
2025-01-14 10:18:02.462,"Thomasville National Bank Sells 3,122 Shares of iShares MSCI Emerging Markets ETF (NYSEARCA:EEM)",urn:newsml:newsroom:20250114:nNRAv2ymcq:0,NS:COMFIN,EEM
2025-01-14 11:24:27.212,With a trading volume of EUR 3.98 EEM.PA trades -0.5 percent lower today,urn:newsml:newsroom:20250114:nNRAv2zjmz:0,NS:STOCKP,EEM
2025-01-14 17:12:22.806,Electricite et Eaux De Madagascar (EEM: EUR4.0) increases on rising relative strength,urn:newsml:newsroom:20250114:nNRAv34k7w:0,NS:GLORDP,EEM
2025-01-15 17:12:24.937,Electricite et Eaux De Madagascar climbs 12% in past 3 months,urn:newsml:newsroom:20250115:nNRAv3lkn9:0,NS:NEWFRA,EEM
2025-01-16 17:12:20.405,Electricite et Eaux De Madagascar surges 29% in past 3 months,urn:newsml:newsroom:20250116:nNRAv42dq2:0,NS:NEWFRA,EEM
2025-01-17 05:16:27.717,On Friday 17th of January Electricite Et Eaux De Madagascar trades 0 percent unchanged,urn:newsml:newsroom:20250117:nNRAv48x0n:0,NS:STOCKP,EEM
