date,headline,storyId,sourceCode,ticker
2024-12-24 04:04:05.379,On Monday 23rd of December Goldon trades 0 percent unchanged,urn:newsml:newsroom:20241224:nNRAuwdh7c:0,NS:STOCKP,GLD
2024-12-26 05:28:27.389,On Thursday 26th of December Goldon trades 33.33 percent higher,urn:newsml:newsroom:20241226:nNRAuwz201:0,NS:STOCKP,GLD
2025-01-01 04:32:41.872,Monthly: GoldON Resources (GLD: 3.50c) unchanged on weak volume in December 2024,urn:newsml:newsroom:20250101:nNRAuys0j9:0,NS:GLOSTP,GLD
2025-01-01 05:36:40.547,End-of-Quarter Synopsis Monthly : GoldON Resources (GLD: 3.50c) unchanged on weak volume in December 2024,urn:newsml:newsroom:20250101:nNRAuyse8x:0,NS:NEWBIB,GLD
2025-01-01 09:57:21.587,On Wednesday 1st of January Goldon trades 0 percent unchanged,urn:newsml:newsroom:20250101:nNRAuyuf3u:0,NS:STOCKP,GLD
2025-01-02 10:30:43.502,Goldon is trading 0 percent unchanged with a volume of CAD 976 on Thursday 2nd of January,urn:newsml:newsroom:20250102:nNRAuz3eom:0,NS:STOCKP,GLD
2025-01-02 12:37:10.772,Monthly: GoldON Resources (GLD: 3.50c) unchanged on weak volume in December 2024,urn:newsml:newsroom:20250102:nNRAuz4upk:0,NS:NEWBIB,GLD
2025-01-03 21:27:03.627,German trading: GoldOn Resources (6NR2: 0.40c) shares fall after 3 days of rises; -2.5c [86.2%],urn:newsml:newsroom:20250103:nNRAuzo7wp:0,NS:CNBSTR,GLD
2025-01-06 13:35:14.676,On Monday 6th of January Goldon trades 0 percent unchanged,urn:newsml:newsroom:20250106:nNRAv09k97:0,NS:STOCKP,GLD
2025-01-06 21:48:11.875,Monthly: GoldON Resources (GLD: 3.50c) unchanged on weak volume in December 2024,urn:newsml:newsroom:20250106:nNRAv0fb3e:0,NS:GLOSTP,GLD
2025-01-11 01:32:29.728,GoldON Resources (GLD: 3.50c) soars 17% on rising relative strength; +0.5c [16.7%],urn:newsml:newsroom:20250111:nNRAv22b2j:0,NS:NEWBIB,GLD
2025-01-13 18:56:38.458,With a trading volume of CAD 960 GLD.V trades 33.33 percent higher today,urn:newsml:newsroom:20250113:nNRAv2q5ot:0,NS:STOCKP,GLD
2025-01-14 01:37:08.199,GoldON Resources (GLD: 3.0c) plummets 14% weakening below moving average price,urn:newsml:newsroom:20250114:nNRAv2toad:0,NS:GLORDP,GLD
2025-01-15 01:42:07.537,GoldON Resources sinks 45% in past 3 months,urn:newsml:newsroom:20250115:nNRAv39rps:0,NS:GLORDP,GLD
2025-01-15 03:50:15.468,Goldon (GLD.V) is trading -25 percent lower on Wednesday 15th of January and has a trading volume of CAD 25.2 k,urn:newsml:newsroom:20250115:nNRAv3awzl:0,NS:STOCKP,GLD
2025-01-15 20:13:14.519,Goldon trades 0 percent unchanged on Wednesday 15th of January,urn:newsml:newsroom:20250115:nNRAv3ntqg:0,NS:STOCKP,GLD
2025-01-16 01:37:14.688,GoldON Resources sinks 45% in past 3 months,urn:newsml:newsroom:20250116:nNRAv3qkxn:0,NS:GLORDP,GLD
2025-01-17 01:37:14.187,GoldON Resources sinks 45% in past 3 months,urn:newsml:newsroom:20250117:nNRAv472tn:0,NS:GLORDP,GLD
2025-01-17 04:02:19.184,GoldOn Resources (6NR2: 2.60c) soars 18% on feeble volume,urn:newsml:newsroom:20250117:nNRAv48a2g:0,NS:CNBSTR,GLD
2025-01-17 05:25:54.839,Goldon (GLD.V) is trading 0 percent unchanged on Friday 17th of January and has a trading volume of CAD 75,urn:newsml:newsroom:20250117:nNRAv496hx:0,NS:STOCKP,GLD
2025-01-21 01:32:08.587,GoldON Resources sinks 45% in past 3 months,urn:newsml:newsroom:20250121:nNRAv5gppw:0,NS:GLORDP,GLD
2025-01-21 16:46:04.354,Goldon is trading 0 percent unchanged with a volume of CAD 12.4 k on Tuesday 21st of January,urn:newsml:newsroom:20250121:nNRAv5s0nc:0,NS:STOCKP,GLD
2025-01-22 01:37:11.734,GoldON Resources (GLD: 2.50c) plummets 17% weakening below moving average price,urn:newsml:newsroom:20250122:nNRAv5xbdb:0,NS:GLORDP,GLD
2025-01-23 01:37:16.007,GoldON Resources (GLD: 3.0c) soars 20% on feeble volume,urn:newsml:newsroom:20250123:nNRAv6dtbb:0,NS:GLORDP,GLD
2025-01-24 01:37:12.981,GoldON Resources (GLD: 3.50c) soars 17% on rising relative strength,urn:newsml:newsroom:20250124:nNRAv6tuwm:0,NS:GLORDP,GLD
2025-01-25 01:37:19.761,GoldON Resources plunges 30% in past 3 months,urn:newsml:newsroom:20250125:nNRAv7a1wj:0,NS:GLORDP,GLD
2025-01-25 03:05:10.051,On Friday 24th of January Goldon trades 0 percent unchanged,urn:newsml:newsroom:20250125:nNRAv7an1b:0,NS:STOCKP,GLD
2025-01-27 21:19:24.117,Goldon (GLD.V) is trading 0 percent unchanged on Monday 27th of January and has a trading volume of CAD 40,urn:newsml:newsroom:20250127:nNRAv81yt3:0,NS:STOCKP,GLD
2025-01-28 01:32:28.268,"GoldON Resources (GLD: 3.0c) plummets 14%, 2 days' volume in a day",urn:newsml:newsroom:20250128:nNRAv83tn3:0,NS:GLORDP,GLD
2025-01-28 04:17:10.849,GoldOn Resources (6NR2: 0.15c) plummets 57% on feeble volume,urn:newsml:newsroom:20250128:nNRAv84qz5:0,NS:CNBSTR,GLD
2025-01-29 01:37:16.200,GoldON Resources sinks 40% in past 3 months,urn:newsml:newsroom:20250129:nNRAv8jkb8:0,NS:GLORDP,GLD
2025-01-29 04:17:14.512,GoldOn Resources (6NR2: 0.05c) down 86% in 2 days,urn:newsml:newsroom:20250129:nNRAv8kpbu:0,NS:CNBSTR,GLD
2025-02-01 01:37:12.031,GoldON Resources crashes 40% in past 3 months,urn:newsml:newsroom:20250201:nNRAv9w1eh:0,NS:NEWBIB,GLD
