date,headline,storyId,sourceCode,ticker
2024-12-12 09:25:25.883,TAMBURI - Comunicazione internal dealing <TIP.MI>,urn:newsml:reuters.com:20241212:nINF6qgy8T:1,NS:1INFO,TIP
2024-12-12 09:32:25.431,TAMBURI - Comunicazione internal dealing <TIP.MI>,urn:newsml:reuters.com:20241212:nINFZHf9:1,NS:1INFO,TIP
2024-12-12 09:45:24.510,TAMBURI - Comunicazione internal dealing <TIP.MI>,urn:newsml:reuters.com:20241212:nINF2WG6ff:1,NS:1INFO,TIP
2024-12-12 15:52:28.915,What the Beneish M-score tells us about Tamburi Investment Partners,urn:newsml:newsroom:20241212:nNRAuseccd:0,NS:GLOWEE,TIP
2024-12-13 06:12:18.288,Tamburi Investment Partners down in recent days,urn:newsml:newsroom:20241213:nNRAusm5g9:0,NS:GLORDP,TIP
2024-12-13 17:27:11.670,What the Altman-Z score tells us about Tamburi Investment Partners,urn:newsml:newsroom:20241213:nNRAusuo2w:0,NS:GLOWEE,TIP
2024-12-13 17:27:12.574,Tamburi Investment Partners continues to show strength in solvency ratios,urn:newsml:newsroom:20241213:nNRAusuof5:0,NS:GLOWEE,TIP
2024-12-13 17:27:13.896,What the Beneish M-score tells us about Tamburi Investment Partners,urn:newsml:newsroom:20241213:nNRAusuprp:0,NS:GLOWEE,TIP
2024-12-14 00:07:11.682,"Weekly: Tamburi Investment Partners (TIP: EUR8.38) decreases 1.4%, 2 weeks' volume in a week; -12c [1.4%] Vol Index 2.0 [1 is avg]",urn:newsml:newsroom:20241214:nNRAusyp5c:0,NS:GLOWEE,TIP
2024-12-14 06:12:20.408,"Weekly: Tamburi Investment Partners (TIP: EUR8.38) decreases 1.4%, 2 weeks' volume in a week; -12c [1.4%] Vol Index 2.0 [1 is avg]",urn:newsml:newsroom:20241214:nNRAut102b:0,NS:GLOWEE,TIP
2024-12-16 14:23:38.564,Tamburi Investment Spa (TIP.MI) is trading 0 percent unchanged on Monday 16th of December and has a trading volume of EUR 669.4 k,urn:newsml:newsroom:20241216:nNRAutn2lf:0,NS:STOCKP,TIP
2024-12-16 14:26:53.000,Dexelance S.p.A. - Buyback Informativa 09-13 dicembre 2024,urn:newsml:reuters.com:20241216:nNDLR3Vqq:1,NS:PUBT,TIP
2024-12-16 17:27:14.417,Tamburi Investment Partners continues to show strength in solvency ratios,urn:newsml:newsroom:20241216:nNRAutp7w7:0,NS:GLOWEE,TIP
2024-12-17 00:07:23.466,Tamburi Investment Partners (TIP: EUR8.32) decreases on high volume; -6c [0.7%] Vol Index 2.0 [1 is avg],urn:newsml:newsroom:20241217:nNRAutsymt:0,NS:CNBSTR,TIP
2024-12-18 00:02:11.209,"Tamburi Investment Partners (TIP: EUR8.21) accelerates decline, down 2.0% in 2 days; -17c [2.0%] Vol Index 2.3 [1 is avg]",urn:newsml:newsroom:20241218:nNRAuu8bfs:0,NS:CNBSTR,TIP
2024-12-18 00:07:11.317,Past Week: Tamburi Investment Partners (TIP: EUR8.21) shares post worst week in four weeks; -18c [-2.1%] Vol Index 1.9 [1 is avg],urn:newsml:newsroom:20241218:nNRAuu8ddz:0,NS:CNBSTR,TIP
2024-12-18 06:12:26.796,Can Tamburi Investment Partners rebound after recent dip?,urn:newsml:newsroom:20241218:nNRAuubqhy:0,NS:GLORDP,TIP
2024-12-18 15:47:38.052,What the Altman-Z score tells us about Tamburi Investment Partners,urn:newsml:newsroom:20241218:nNRAuujeom:0,NS:GLOWEE,TIP
2024-12-19 00:07:18.655,"Past Week: Tamburi Investment Partners (TIP: EUR8.39) decreases 0.7%, 2 weeks' volume in a week; -6c [-0.7%] Vol Index 1.9 [1 is avg]",urn:newsml:newsroom:20241219:nNRAuuoklf:0,NS:CNBSTR,TIP
2024-12-19 00:07:20.878,Tamburi Investment Partners (TIP: EUR8.39) rises 2.2% on increasing volatility; +18c [2.2%] Vol Index 2.5 [1 is avg],urn:newsml:newsroom:20241219:nNRAuuojiv:0,NS:CNBSTR,TIP
2024-12-19 06:12:21.534,Traders look to see if Tamburi Investment Partners' recent rally will continue,urn:newsml:newsroom:20241219:nNRAuurjk8:0,NS:GLORDP,TIP
2024-12-19 15:52:33.808,What the Beneish M-score tells us about Tamburi Investment Partners,urn:newsml:newsroom:20241219:nNRAuuz9hf:0,NS:GLOWEE,TIP
2024-12-19 16:39:19.401,With a trading volume of EUR 1.5 mn TIP.MI trades 2.19 percent higher today,urn:newsml:newsroom:20241219:nNRAuuzvgc:0,NS:STOCKP,TIP
2024-12-20 00:02:04.568,Tamburi Investment Partners (TIP: EUR8.12) hits year-low 5th time in one month; -27c [3.2%] Vol Index 4.3 [1 is avg],urn:newsml:newsroom:20241220:nNRAuv45uj:0,NS:CNBSTR,TIP
2024-12-20 00:07:06.968,Past Week: Tamburi Investment Partners (TIP: EUR8.12) shares post worst week in four weeks; -26c [-3.1%] Vol Index 2.5 [1 is avg],urn:newsml:newsroom:20241220:nNRAuv47fr:0,NS:CNBSTR,TIP
2024-12-20 06:12:21.294,Tamburi Investment Partners down in recent days,urn:newsml:newsroom:20241220:nNRAuv70da:0,NS:GLORDP,TIP
2024-12-20 17:42:01.341,What the Beneish M-score tells us about Tamburi Investment Partners,urn:newsml:newsroom:20241220:nNRAuvfx5m:0,NS:GLOWEE,TIP
2024-12-20 17:42:35.946,Tamburi Investment Partners continues to show strength in solvency ratios,urn:newsml:newsroom:20241220:nNRAuvg04p:0,NS:GLOWEE,TIP
2024-12-20 17:42:38.969,What the Altman-Z score tells us about Tamburi Investment Partners,urn:newsml:newsroom:20241220:nNRAuvfzrl:0,NS:GLOWEE,TIP
2024-12-21 00:08:37.022,Tamburi Investment Partners (TIP: EUR8.21) offers earnings yield of 6.2%; +9c [1.1%] Vol Index 4.2 [1 is avg],urn:newsml:newsroom:20241221:nNRAuvjsrm:0,NS:CNBSTR,TIP
2024-12-21 00:12:06.293,Weekly: Tamburi Investment Partners (TIP: EUR8.21) down 3.4% in 2 weeks; -29c [-3.4%],urn:newsml:newsroom:20241221:nNRAuvju0s:0,NS:CNBSTR,TIP
2024-12-21 00:12:14.311,Weekly: Tamburi Investment Partners (TIP: EUR8.21) down 3.4% in 2 weeks; -17c [2.0%] Vol Index 3.1 [1 is avg],urn:newsml:newsroom:20241221:nNRAuvjtmi:0,NS:GLOWEE,TIP
2024-12-21 06:12:24.814,Weekly: Tamburi Investment Partners (TIP: EUR8.21) down 3.4% in 2 weeks; -17c [2.0%] Vol Index 3.1 [1 is avg],urn:newsml:newsroom:20241221:nNRAuvmdfv:0,NS:GLOWEE,TIP
2024-12-23 06:12:10.883,Monday's Preview: Can Tamburi Investment Partners continue its recent gains?,urn:newsml:newsroom:20241223:nNRAuw0nk3:0,NS:GLORDP,TIP
