Categoría: Todas las categorías

Mes,bear market: (Todo el mundo)
2004-01,11
2004-02,12
2004-03,13
2004-04,12
2004-05,16
2004-06,10
2004-07,13
2004-08,10
2004-09,10
2004-10,12
2004-11,16
2004-12,12
2005-01,11
2005-02,15
2005-03,15
2005-04,17
2005-05,11
2005-06,10
2005-07,9
2005-08,9
2005-09,9
2005-10,10
2005-11,9
2005-12,10
2006-01,10
2006-02,9
2006-03,11
2006-04,10
2006-05,15
2006-06,17
2006-07,12
2006-08,9
2006-09,7
2006-10,9
2006-11,8
2006-12,7
2007-01,9
2007-02,10
2007-03,13
2007-04,9
2007-05,10
2007-06,11
2007-07,12
2007-08,18
2007-09,11
2007-10,12
2007-11,16
2007-12,12
2008-01,30
2008-02,16
2008-03,26
2008-04,14
2008-05,13
2008-06,20
2008-07,45
2008-08,14
2008-09,21
2008-10,42
2008-11,24
2008-12,18
2009-01,13
2009-02,17
2009-03,27
2009-04,22
2009-05,20
2009-06,13
2009-07,11
2009-08,12
2009-09,12
2009-10,11
2009-11,11
2009-12,9
2010-01,10
2010-02,10
2010-03,10
2010-04,10
2010-05,13
2010-06,11
2010-07,10
2010-08,9
2010-09,9
2010-10,8
2010-11,10
2010-12,8
2011-01,10
2011-02,10
2011-03,9
2011-04,9
2011-05,8
2011-06,9
2011-07,8
2011-08,20
2011-09,13
2011-10,17
2011-11,11
2011-12,10
2012-01,9
2012-02,9
2012-03,10
2012-04,8
2012-05,9
2012-06,9
2012-07,8
2012-08,7
2012-09,8
2012-10,8
2012-11,9
2012-12,8
2013-01,8
2013-02,8
2013-03,10
2013-04,10
2013-05,9
2013-06,10
2013-07,7
2013-08,8
2013-09,8
2013-10,8
2013-11,9
2013-12,9
2014-01,9
2014-02,11
2014-03,10
2014-04,9
2014-05,9
2014-06,8
2014-07,11
2014-08,9
2014-09,9
2014-10,13
2014-11,10
2014-12,11
2015-01,10
2015-02,10
2015-03,11
2015-04,10
2015-05,10
2015-06,10
2015-07,11
2015-08,18
2015-09,16
2015-10,12
2015-11,11
2015-12,11
2016-01,30
2016-02,19
2016-03,13
2016-04,11
2016-05,10
2016-06,10
2016-07,10
2016-08,9
2016-09,9
2016-10,9
2016-11,11
2016-12,10
2017-01,9
2017-02,11
2017-03,12
2017-04,10
2017-05,11
2017-06,11
2017-07,11
2017-08,11
2017-09,11
2017-10,11
2017-11,15
2017-12,13
2018-01,16
2018-02,22
2018-03,17
2018-04,14
2018-05,12
2018-06,13
2018-07,12
2018-08,13
2018-09,15
2018-10,21
2018-11,26
2018-12,52
2019-01,17
2019-02,13
2019-03,13
2019-04,13
2019-05,12
2019-06,12
2019-07,11
2019-08,12
2019-09,11
2019-10,11
2019-11,12
2019-12,11
2020-01,11
2020-02,16
2020-03,100
2020-04,33
2020-05,20
2020-06,17
2020-07,13
2020-08,13
2020-09,14
2020-10,13
2020-11,13
2020-12,13
2021-01,17
2021-02,21
2021-03,18
2021-04,19
2021-05,32
2021-06,20
2021-07,14
2021-08,13
2021-09,14
2021-10,18
2021-11,18
2021-12,22
2022-01,34
2022-02,22
2022-03,24
2022-04,24
2022-05,68
2022-06,83
2022-07,31
2022-08,28
2022-09,33
2022-10,28
2022-11,22
2022-12,21
2023-01,21
2023-02,21
2023-03,20
2023-04,15
2023-05,13
2023-06,20
2023-07,14
2023-08,13
2023-09,13
2023-10,13
2023-11,14
2023-12,14
2024-01,13
2024-02,15
2024-03,16
2024-04,13
2024-05,13
2024-06,13
2024-07,14
2024-08,18
2024-09,15
2024-10,14
2024-11,17
2024-12,18
2025-01,16
2025-02,18
2025-03,25
2025-04,54
2025-05,15
2025-06,19
2025-07,21
2025-08,52
2025-09,45
2025-10,46
2025-11,24
