Categoría: Todas las categorías

Mes,buy stocks: (Todo el mundo)
2004-01,10
2004-02,8
2004-03,8
2004-04,7
2004-05,6
2004-06,5
2004-07,6
2004-08,7
2004-09,6
2004-10,7
2004-11,8
2004-12,8
2005-01,8
2005-02,9
2005-03,7
2005-04,6
2005-05,6
2005-06,6
2005-07,6
2005-08,7
2005-09,6
2005-10,7
2005-11,7
2005-12,7
2006-01,8
2006-02,8
2006-03,8
2006-04,7
2006-05,6
2006-06,5
2006-07,5
2006-08,6
2006-09,6
2006-10,7
2006-11,6
2006-12,6
2007-01,8
2007-02,7
2007-03,7
2007-04,7
2007-05,6
2007-06,7
2007-07,7
2007-08,7
2007-09,7
2007-10,9
2007-11,8
2007-12,8
2008-01,10
2008-02,9
2008-03,9
2008-04,8
2008-05,7
2008-06,6
2008-07,7
2008-08,6
2008-09,13
2008-10,29
2008-11,15
2008-12,12
2009-01,11
2009-02,12
2009-03,17
2009-04,12
2009-05,12
2009-06,10
2009-07,9
2009-08,11
2009-09,11
2009-10,12
2009-11,11
2009-12,10
2010-01,11
2010-02,11
2010-03,12
2010-04,11
2010-05,10
2010-06,8
2010-07,7
2010-08,8
2010-09,9
2010-10,10
2010-11,9
2010-12,10
2011-01,13
2011-02,11
2011-03,11
2011-04,9
2011-05,8
2011-06,7
2011-07,7
2011-08,13
2011-09,8
2011-10,8
2011-11,7
2011-12,8
2012-01,8
2012-02,11
2012-03,9
2012-04,8
2012-05,10
2012-06,6
2012-07,6
2012-08,6
2012-09,9
2012-10,8
2012-11,8
2012-12,7
2013-01,10
2013-02,10
2013-03,9
2013-04,9
2013-05,9
2013-06,7
2013-07,8
2013-08,9
2013-09,14
2013-10,14
2013-11,13
2013-12,12
2014-01,15
2014-02,14
2014-03,13
2014-04,11
2014-05,10
2014-06,9
2014-07,9
2014-08,10
2014-09,11
2014-10,11
2014-11,12
2014-12,14
2015-01,15
2015-02,14
2015-03,12
2015-04,12
2015-05,10
2015-06,9
2015-07,10
2015-08,15
2015-09,11
2015-10,12
2015-11,10
2015-12,10
2016-01,13
2016-02,12
2016-03,12
2016-04,11
2016-05,11
2016-06,12
2016-07,11
2016-08,10
2016-09,11
2016-10,11
2016-11,15
2016-12,13
2017-01,16
2017-02,19
2017-03,17
2017-04,13
2017-05,13
2017-06,14
2017-07,14
2017-08,14
2017-09,14
2017-10,17
2017-11,19
2017-12,24
2018-01,26
2018-02,21
2018-03,15
2018-04,14
2018-05,13
2018-06,13
2018-07,13
2018-08,15
2018-09,17
2018-10,17
2018-11,12
2018-12,13
2019-01,15
2019-02,16
2019-03,15
2019-04,16
2019-05,15
2019-06,13
2019-07,13
2019-08,14
2019-09,14
2019-10,13
2019-11,15
2019-12,15
2020-01,20
2020-02,27
2020-03,100
2020-04,80
2020-05,50
2020-06,54
2020-07,41
2020-08,40
2020-09,35
2020-10,28
2020-11,38
2020-12,47
2021-01,87
2021-02,88
2021-03,45
2021-04,46
2021-05,46
2021-06,39
2021-07,28
2021-08,27
2021-09,27
2021-10,31
2021-11,36
2021-12,29
2022-01,37
2022-02,31
2022-03,30
2022-04,28
2022-05,24
2022-06,21
2022-07,19
2022-08,21
2022-09,19
2022-10,18
2022-11,18
2022-12,18
2023-01,20
2023-02,19
2023-03,17
2023-04,16
2023-05,17
2023-06,20
2023-07,22
2023-08,20
2023-09,21
2023-10,18
2023-11,19
2023-12,25
2024-01,29
2024-02,30
2024-03,26
2024-04,23
2024-05,23
2024-06,27
2024-07,26
2024-08,26
2024-09,21
2024-10,23
2024-11,31
2024-12,29
2025-01,29
2025-02,28
2025-03,23
2025-04,36
2025-05,21
2025-06,24
2025-07,33
2025-08,60
2025-09,51
2025-10,47
2025-11,23
