date,buy_stocks
2004-01-01,10
2004-02-01,8
2004-03-01,8
2004-04-01,7
2004-05-01,6
2004-06-01,5
2004-07-01,6
2004-08-01,7
2004-09-01,6
2004-10-01,7
2004-11-01,8
2004-12-01,8
2005-01-01,8
2005-02-01,9
2005-03-01,7
2005-04-01,6
2005-05-01,6
2005-06-01,6
2005-07-01,6
2005-08-01,7
2005-09-01,6
2005-10-01,7
2005-11-01,7
2005-12-01,7
2006-01-01,8
2006-02-01,8
2006-03-01,8
2006-04-01,7
2006-05-01,6
2006-06-01,5
2006-07-01,5
2006-08-01,6
2006-09-01,6
2006-10-01,7
2006-11-01,6
2006-12-01,6
2006-12-31,20
2007-01-07,25
2007-01-14,19
2007-01-21,22
2007-01-28,20
2007-02-04,19
2007-02-11,18
2007-02-18,20
2007-02-25,24
2007-03-04,24
2007-03-11,17
2007-03-18,16
2007-03-25,15
2007-04-01,16
2007-04-08,19
2007-04-15,17
2007-04-22,21
2007-04-29,18
2007-05-06,16
2007-05-13,17
2007-05-20,17
2007-05-27,17
2007-06-03,20
2007-06-10,17
2007-06-17,17
2007-06-24,17
2007-07-01,17
2007-07-08,18
2007-07-15,20
2007-07-22,19
2007-07-29,20
2007-08-05,21
2007-08-12,22
2007-08-19,18
2007-08-26,16
2007-09-02,17
2007-09-09,18
2007-09-16,20
2007-09-23,21
2007-09-30,21
2007-10-07,24
2007-10-14,21
2007-10-21,22
2007-10-28,25
2007-11-04,25
2007-11-11,19
2007-11-18,18
2007-11-25,22
2007-12-02,22
2007-12-09,21
2007-12-16,19
2007-12-23,21
2007-12-30,24
2008-01-06,24
2008-01-13,23
2008-01-20,33
2008-01-27,28
2008-02-03,28
2008-02-10,22
2008-02-17,20
2008-02-24,25
2008-03-02,23
2008-03-09,23
2008-03-16,28
2008-03-23,25
2008-03-30,23
2008-04-06,20
2008-04-13,17
2008-04-20,21
2008-04-27,21
2008-05-04,18
2008-05-11,18
2008-05-18,20
2008-05-25,15
2008-06-01,17
2008-06-08,16
2008-06-15,17
2008-06-22,16
2008-06-29,18
2008-07-06,18
2008-07-13,21
2008-07-20,20
2008-07-27,19
2008-08-03,18
2008-08-10,14
2008-08-17,13
2008-08-24,15
2008-08-31,13
2008-09-07,21
2008-09-14,45
2008-09-21,41
2008-09-28,62
2008-10-05,100
2008-10-12,97
2008-10-19,56
2008-10-26,52
2008-11-02,38
2008-11-09,39
2008-11-16,46
2008-11-23,39
2008-11-30,36
2008-12-07,30
2008-12-14,29
2008-12-21,21
2008-12-28,27
2009-01-04,30
2009-01-11,24
2009-01-18,25
2009-01-25,27
2009-02-01,25
2009-02-08,27
2009-02-15,30
2009-02-22,33
2009-03-01,49
2009-03-08,48
2009-03-15,47
2009-03-22,45
2009-03-29,33
2009-04-05,32
2009-04-12,35
2009-04-19,31
2009-04-26,32
2009-05-03,36
2009-05-10,29
2009-05-17,29
2009-05-24,29
2009-05-31,35
2009-06-07,29
2009-06-14,23
2009-06-21,21
2009-06-28,17
2009-07-05,19
2009-07-12,23
2009-07-19,26
2009-07-26,26
2009-08-02,28
2009-08-09,28
2009-08-16,30
2009-08-23,31
2009-08-30,29
2009-09-06,29
2009-09-13,32
2009-09-20,32
2009-09-27,28
2009-10-04,30
2009-10-11,36
2009-10-18,36
2009-10-25,29
2009-11-01,28
2009-11-08,28
2009-11-15,30
2009-11-22,24
2009-11-29,29
2009-12-06,24
2009-12-13,26
2009-12-20,23
2009-12-27,29
2010-01-03,36
