date,inflation
2004-01-01,32
2004-02-01,30
2004-03-01,36
2004-04-01,34
2004-05-01,30
2004-06-01,27
2004-07-01,24
2004-08-01,24
2004-09-01,28
2004-10-01,27
2004-11-01,29
2004-12-01,25
2005-01-01,27
2005-02-01,29
2005-03-01,30
2005-04-01,36
2005-05-01,27
2005-06-01,22
2005-07-01,19
2005-08-01,19
2005-09-01,27
2005-10-01,31
2005-11-01,29
2005-12-01,25
2006-01-01,27
2006-02-01,26
2006-03-01,29
2006-04-01,27
2006-05-01,28
2006-06-01,23
2006-07-01,19
2006-08-01,20
2006-09-01,22
2006-10-01,24
2006-11-01,26
2006-12-01,22
2006-12-31,55
2007-01-07,66
2007-01-14,87
2007-01-21,73
2007-01-28,70
2007-02-04,69
2007-02-11,73
2007-02-18,71
2007-02-25,74
2007-03-04,74
2007-03-11,71
2007-03-18,71
2007-03-25,71
2007-04-01,67
2007-04-08,66
2007-04-15,75
2007-04-22,73
2007-04-29,73
2007-05-06,72
2007-05-13,69
2007-05-20,64
2007-05-27,61
2007-06-03,61
2007-06-10,63
2007-06-17,58
2007-06-24,55
2007-07-01,50
2007-07-08,55
2007-07-15,58
2007-07-22,59
2007-07-29,54
2007-08-05,55
2007-08-12,57
2007-08-19,54
2007-08-26,54
2007-09-02,55
2007-09-09,66
2007-09-16,76
2007-09-23,68
2007-09-30,68
2007-10-07,71
2007-10-14,66
2007-10-21,67
2007-10-28,73
2007-11-04,75
2007-11-11,72
2007-11-18,70
2007-11-25,76
2007-12-02,76
2007-12-09,72
2007-12-16,68
2007-12-23,40
2007-12-30,62
2008-01-06,74
2008-01-13,77
2008-01-20,78
2008-01-27,85
2008-02-03,70
2008-02-10,69
2008-02-17,79
2008-02-24,85
2008-03-02,83
2008-03-09,83
2008-03-16,80
2008-03-23,79
2008-03-30,95
2008-04-06,87
2008-04-13,94
2008-04-20,100
2008-04-27,85
2008-05-04,81
2008-05-11,86
2008-05-18,81
2008-05-25,72
2008-06-01,80
2008-06-08,86
2008-06-15,97
2008-06-22,90
2008-06-29,80
2008-07-06,77
2008-07-13,88
2008-07-20,85
2008-07-27,78
2008-08-03,71
2008-08-10,73
2008-08-17,77
2008-08-24,69
