date,recession
2006-12-31,4
2007-01-07,4
2007-01-14,4
2007-01-21,5
2007-01-28,4
2007-02-04,4
2007-02-11,4
2007-02-18,4
2007-02-25,17
2007-03-04,8
2007-03-11,8
2007-03-18,6
2007-03-25,6
2007-04-01,5
2007-04-08,6
2007-04-15,5
2007-04-22,6
2007-04-29,6
2007-05-06,6
2007-05-13,6
2007-05-20,5
2007-05-27,4
2007-06-03,4
2007-06-10,4
2007-06-17,3
2007-06-24,3
2007-07-01,3
2007-07-08,3
2007-07-15,3
2007-07-22,4
2007-07-29,5
2007-08-05,6
2007-08-12,9
2007-08-19,8
2007-08-26,8
2007-09-02,9
2007-09-09,13
2007-09-16,16
2007-09-23,11
2007-09-30,10
2007-10-07,8
2007-10-14,8
2007-10-21,10
2007-10-28,10
2007-11-04,14
2007-11-11,13
2007-11-18,12
2007-11-25,16
2007-12-02,11
2007-12-09,16
2007-12-16,15
2007-12-23,10
2007-12-30,20
2008-01-06,44
2008-01-13,60
2008-01-20,100
2008-01-27,42
2008-02-03,38
2008-02-10,27
2008-02-17,20
2008-02-24,29
2008-03-02,31
2008-03-09,38
2008-03-16,45
2008-03-23,26
2008-03-30,35
2008-04-06,33
2008-04-13,26
2008-04-20,26
2008-04-27,30
2008-05-04,20
2008-05-11,18
2008-05-18,15
2008-05-25,16
2008-06-01,15
2008-06-08,16
2008-06-15,14
2008-06-22,16
2008-06-29,17
2008-07-06,28
2008-07-13,23
2008-07-20,19
2008-07-27,19
2008-08-03,17
2008-08-10,17
2008-08-17,21
2008-08-24,28
2008-08-31,37
2008-09-07,31
2008-09-14,40
2008-09-21,44
2008-09-28,52
2008-10-05,84
2008-10-12,78
2008-10-19,84
2008-10-26,55
2008-11-02,43
2008-11-09,63
2008-11-16,78
2008-11-23,51
2008-11-30,95
2008-12-07,68
2008-12-14,48
2008-12-21,40
2008-12-28,43
2009-01-04,46
2009-01-11,51
2009-01-18,59
2009-01-25,75
2009-02-01,68
2009-02-08,70
2009-02-15,69
2009-02-22,73
2009-03-01,87
2009-03-08,74
2009-03-15,65
2009-03-22,63
2009-03-29,59
2009-04-05,57
2009-04-12,49
2009-04-19,56
2009-04-26,50
2009-05-03,45
2009-05-10,47
2009-05-17,36
2009-05-24,38
2009-05-31,37
2009-06-07,35
2009-06-14,33
2009-06-21,32
2009-06-28,30
2009-07-05,33
2009-07-12,33
2009-07-19,33
2009-07-26,35
2009-08-02,36
2009-08-09,35
2009-08-16,31
2009-08-23,33
