date,sell_stocks
2004-01-01,20
2004-02-01,20
2004-03-01,13
2004-04-01,14
2004-05-01,15
2004-06-01,15
2004-07-01,16
2004-08-01,10
2004-09-01,16
2004-10-01,17
2004-11-01,20
2004-12-01,17
2005-01-01,10
2005-02-01,17
2005-03-01,12
2005-04-01,12
2005-05-01,16
2005-06-01,12
2005-07-01,15
2005-08-01,14
2005-09-01,11
2005-10-01,12
2005-11-01,15
2005-12-01,12
2006-01-01,15
2006-02-01,13
2006-03-01,16
2006-04-01,16
2006-05-01,13
2006-06-01,10
2006-07-01,12
2006-08-01,15
2006-09-01,13
2006-10-01,12
2006-11-01,10
2006-12-01,10
2006-12-31,27
2007-01-07,32
2007-01-14,17
2007-01-21,21
2007-01-28,21
2007-02-04,23
2007-02-11,14
2007-02-18,18
2007-02-25,25
2007-03-04,26
2007-03-11,22
2007-03-18,15
2007-03-25,18
2007-04-01,26
2007-04-08,19
2007-04-15,21
2007-04-22,31
2007-04-29,23
2007-05-06,27
2007-05-13,25
2007-05-20,18
2007-05-27,18
2007-06-03,26
2007-06-10,26
2007-06-17,20
2007-06-24,19
2007-07-01,24
2007-07-08,30
2007-07-15,25
2007-07-22,23
2007-07-29,25
2007-08-05,31
2007-08-12,24
2007-08-19,23
2007-08-26,0
2007-09-02,14
2007-09-09,29
2007-09-16,24
2007-09-23,27
2007-09-30,31
2007-10-07,25
2007-10-14,21
2007-10-21,22
2007-10-28,26
2007-11-04,28
2007-11-11,24
2007-11-18,20
2007-11-25,26
2007-12-02,28
2007-12-09,24
2007-12-16,25
2007-12-23,29
2007-12-30,32
2008-01-06,29
2008-01-13,36
2008-01-20,40
2008-01-27,27
2008-02-03,28
2008-02-10,17
2008-02-17,25
2008-02-24,27
2008-03-02,23
2008-03-09,25
2008-03-16,32
2008-03-23,28
2008-03-30,28
2008-04-06,28
2008-04-13,24
2008-04-20,22
2008-04-27,22
2008-05-04,25
2008-05-11,28
2008-05-18,24
2008-05-25,13
2008-06-01,16
2008-06-08,25
2008-06-15,22
2008-06-22,21
2008-06-29,19
2008-07-06,31
2008-07-13,31
2008-07-20,28
2008-07-27,24
2008-08-03,20
2008-08-10,30
2008-08-17,14
2008-08-24,14
2008-08-31,19
2008-09-07,26
2008-09-14,62
2008-09-21,49
2008-09-28,47
2008-10-05,100
2008-10-12,55
2008-10-19,35
2008-10-26,39
2008-11-02,26
2008-11-09,29
2008-11-16,44
2008-11-23,30
2008-11-30,31
2008-12-07,32
2008-12-14,34
2008-12-21,30
2008-12-28,32
2009-01-04,22
2009-01-11,23
2009-01-18,21
2009-01-25,23
2009-02-01,17
2009-02-08,19
2009-02-15,26
2009-02-22,35
2009-03-01,32
2009-03-08,32
2009-03-15,40
2009-03-22,31
