date,unemployment
2004-01-01,9
2004-02-01,9
2004-03-01,8
2004-04-01,9
2004-05-01,8
2004-06-01,7
2004-07-01,7
2004-08-01,7
2004-09-01,8
2004-10-01,8
2004-11-01,7
2004-12-01,7
2005-01-01,8
2005-02-01,8
2005-03-01,7
2005-04-01,7
2005-05-01,6
2005-06-01,6
2005-07-01,7
2005-08-01,6
2005-09-01,7
2005-10-01,7
2005-11-01,7
2005-12-01,7
2006-01-01,8
2006-02-01,7
2006-03-01,6
2006-04-01,7
2006-05-01,6
2006-06-01,6
2006-07-01,6
2006-08-01,6
2006-09-01,6
2006-10-01,6
2006-11-01,6
2006-12-01,6
2006-12-31,20
2007-01-07,20
2007-01-14,20
2007-01-21,20
2007-01-28,20
2007-02-04,17
2007-02-11,18
2007-02-18,18
2007-02-25,17
2007-03-04,18
2007-03-11,17
2007-03-18,15
2007-03-25,16
2007-04-01,16
2007-04-08,18
2007-04-15,18
2007-04-22,17
2007-04-29,17
2007-05-06,16
2007-05-13,16
2007-05-20,15
2007-05-27,15
2007-06-03,16
2007-06-10,15
2007-06-17,14
2007-06-24,16
2007-07-01,15
2007-07-08,17
2007-07-15,17
2007-07-22,17
2007-07-29,16
2007-08-05,16
2007-08-12,16
2007-08-19,16
2007-08-26,16
2007-09-02,16
2007-09-09,17
2007-09-16,17
2007-09-23,17
2007-09-30,18
2007-10-07,18
2007-10-14,17
2007-10-21,17
2007-10-28,18
2007-11-04,18
2007-11-11,18
2007-11-18,14
2007-11-25,18
2007-12-02,19
2007-12-09,19
2007-12-16,18
2007-12-23,17
2007-12-30,25
2008-01-06,23
2008-01-13,23
2008-01-20,23
2008-01-27,23
2008-02-03,22
2008-02-10,20
2008-02-17,20
2008-02-24,20
2008-03-02,20
2008-03-09,20
2008-03-16,19
2008-03-23,19
2008-03-30,22
2008-04-06,21
2008-04-13,20
2008-04-20,21
2008-04-27,21
2008-05-04,19
2008-05-11,20
2008-05-18,19
2008-05-25,18
2008-06-01,20
2008-06-08,21
2008-06-15,21
2008-06-22,22
2008-06-29,22
2008-07-06,24
2008-07-13,24
2008-07-20,25
2008-07-27,26
2008-08-03,25
2008-08-10,24
2008-08-17,24
2008-08-24,24
2008-08-31,27
2008-09-07,26
2008-09-14,27
2008-09-21,27
2008-09-28,30
2008-10-05,31
2008-10-12,30
2008-10-19,31
2008-10-26,32
2008-11-02,33
2008-11-09,38
2008-11-16,46
2008-11-23,35
2008-11-30,46
2008-12-07,46
2008-12-14,42
2008-12-21,40
2008-12-28,46
2009-01-04,59
2009-01-11,54
2009-01-18,51
2009-01-25,57
2009-02-01,55
2009-02-08,51
2009-02-15,52
2009-02-22,57
2009-03-01,56
2009-03-08,49
2009-03-15,50
2009-03-22,50
2009-03-29,55
2009-04-05,50
2009-04-12,52
2009-04-19,48
2009-04-26,49
2009-05-03,48
2009-05-10,45
2009-05-17,50
2009-05-24,44
2009-05-31,48
2009-06-07,44
2009-06-14,46
2009-06-21,47
2009-06-28,48
2009-07-05,49
2009-07-12,52
2009-07-19,50
2009-07-26,52
2009-08-02,54
2009-08-09,50
2009-08-16,46
2009-08-23,47
2009-08-30,47
2009-09-06,46
2009-09-13,48
2009-09-20,52
2009-09-27,50
2009-10-04,55
2009-10-11,52
2009-10-18,50
2009-10-25,51
2009-11-01,61
2009-11-08,54
2009-11-15,51
2009-11-22,42
2009-11-29,57
2009-12-06,51
2009-12-13,52
2009-12-20,51
2009-12-27,54
2010-01-03,60
2010-01-10,55
2010-01-17,59
2010-01-24,55
2010-01-31,56
2010-02-07,49
2010-02-14,53
2010-02-21,56
2010-02-28,59
2010-03-07,50
2010-03-14,48
2010-03-21,51
2010-03-28,53
2010-04-04,51
2010-04-11,59
2010-04-18,50
2010-04-25,46
2010-05-02,47
2010-05-09,48
2010-05-16,47
2010-05-23,45
