Strategy,Metric,Value
XGB Tuned,mean,0.3712839397344856
XGB Tuned,median,0.3885820329900762
XGB Tuned,p95,0.7142683467988532
XGB Tuned,max,0.9581243215141677
XGB Tuned,annual,19.30676486619325
XGB Tuned,cost_5bps,0.009653382433096627
XGB Tuned,cost_10bps,0.019306764866193253
XGB Tuned,sharpe_net_5,1.276470249062416
XGB Tuned,sharpe_net_10,1.154814889629848
LGB Tuned,mean,0.38029583805122985
LGB Tuned,median,0.38867509697885316
LGB Tuned,p95,0.7463544277150242
LGB Tuned,max,0.9999999999999984
LGB Tuned,annual,19.775383578663952
LGB Tuned,cost_5bps,0.009887691789331977
LGB Tuned,cost_10bps,0.019775383578663954
LGB Tuned,sharpe_net_5,1.1870848590230638
LGB Tuned,sharpe_net_10,1.0600195952560791
