,SPY,QQQ,IWM,EFA,EEM,AGG,LQD,TIP,GLD,VNQ
2011-04-01,1.5671830993110753e-15,0.14156172462974204,1.464156236711666e-15,1.7857559669192946e-15,3.639598907188295e-16,0.14544106458808784,0.29422620315204423,0.1574693243575155,0.26130168327260306,2.2138407523058625e-15
2011-04-08,1.4124736824031625e-14,0.14413686366125444,3.990539170211995e-14,1.6722334292913675e-14,9.225904717795725e-14,0.39999999999995595,0.2330990068706581,0.02316246441102804,0.19960166505692692,1.3424669788514567e-14
2011-04-15,4.3074716221230663e-16,0.1471743820701966,0.0,3.928449585945861e-16,1.5721040676263194e-15,0.0,0.2500380080701345,0.3146961567971021,0.2880914530625658,1.987285857901882e-16
2011-04-22,2.2943938748619587e-15,0.20708660673617732,3.724676495360056e-15,4.646396970477442e-15,9.203287417885576e-16,0.15412942936295823,9.00233900290969e-15,0.39999999999997776,0.23878396390086218,3.9264797466172326e-15
2011-04-29,6.916489760859222e-16,0.17014751916913434,1.1401277057849973e-15,0.0,0.0,0.2554616185652126,0.243833508071158,0.0,0.33055735419450527,0.0
2011-05-06,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.3722154019280577,0.22778459807194917,0.0
2011-05-13,1.691430473437819e-16,0.22290521382599573,6.365156007927379e-16,1.5554636131265898e-15,8.2390257871273615e-16,0.39999999999999775,1.5901631312790583e-15,0.08399451376706621,0.2931002724069352,4.875292091043711e-16
2011-05-20,2.6412714035289958e-12,0.3999999999996288,6.6665084367361e-14,1.4644316482819262e-13,1.5590434421449903e-13,0.09265569852132619,9.584335994785485e-14,0.2548934475750522,0.25245085390073246,1.5413672860325392e-13
2011-05-27,0.0,0.23162530026332237,0.0,0.0,0.0,0.3594081062026236,1.8425182620847338e-16,0.15091567756459118,0.25805091596946467,0.0
2011-06-03,5.554167904233233e-17,0.17959626603631637,1.5536217082921013e-16,0.0,0.0,0.2825844954942055,0.0,0.3413177288548931,0.19650150961458665,0.0
2011-06-10,0.3614399548285209,2.0706893112746845e-14,3.234231619973489e-14,1.20602996414186e-13,1.7550216041182197e-14,8.282246441879896e-14,1.838316198349071e-14,0.3999999999997894,0.23856004517137722,2.007436236553875e-14
2011-06-17,0.0,2.789796464256749e-16,2.84426271015466e-16,4.2193818912277996e-16,0.17151632690035787,0.02848367309964305,2.1332071393036274e-16,0.3999999999999982,0.39999999999999986,2.1527608900951318e-16
2011-06-24,5.2960659030020477e-17,0.0236233687090276,0.0,0.0,3.14354236378905e-17,0.3999999999999999,0.16344449777227135,0.191633400113368,0.2212987334053339,0.0
2011-07-01,0.0,0.009608199634249942,7.010749849324197e-16,4.061187222388278e-16,0.0,0.3999999999999998,0.36931528494998134,0.012776634623897911,0.20829988079187012,9.489808692530137e-17
2011-07-08,2.965479993805102e-17,0.05658532027763985,2.60052614503432e-16,6.676179136563961e-17,6.478830362796545e-17,0.2793939010979397,4.06519138901278e-16,0.399999999999999,0.2640207786244205,1.3393273453149165e-16
2011-07-15,0.0,0.0,0.0,0.0,0.1348041965381538,0.06519580346179107,0.0,0.4,0.4,0.0
2011-07-22,1.6554172653901103e-16,0.0,0.0,1.945559275716145e-17,3.2810601695855974e-16,0.17767150866469475,0.4,0.2039213267048446,0.21840716463046034,0.0
2011-07-29,0.0,0.16279145283277763,0.0,0.0,0.0,0.0,0.03720854716723016,0.39999999999999847,0.4,0.0
2011-08-05,5.2582653990512594e-14,0.12293094037770874,6.748703006852474e-14,5.374439728966609e-14,1.6005072186735244e-13,0.399999999999315,0.07706905962254473,3.969314876443927e-14,0.3999999999998467,2.1128308514309071e-13
2011-08-12,0.0,0.0,0.0,0.0,0.0,0.4,0.28729645023210254,0.0,0.3127035497680626,2.8527601220414853e-13
2011-08-19,1.3958306889443435e-15,3.12474667841824e-15,2.247427945816236e-15,2.944589488705476e-15,1.7152763746589948e-15,0.39999999999998437,0.04328222134014196,0.298511495008916,0.25820628365095655,0.0
2011-08-26,2.740684765701332e-13,1.2087606182087743e-13,1.2490601636707635e-13,1.224194749941019e-13,1.413492342915509e-13,0.3999999999997108,0.13492372995263338,0.3010475332815813,0.16402873676552798,0.0
2011-09-02,3.2086024322576454e-15,0.0,3.6120180179214046e-15,1.6734148766916473e-15,3.4384344985731854e-15,0.39999999999999786,0.279014188695407,0.164365906545569,0.15661990475901758,0.0
2011-09-09,5.58075179640109e-14,1.3755814398346947e-13,5.74182475065487e-14,5.6549042005771765e-14,5.92417969279796e-14,0.39999999999932945,0.18582390229925064,3.521998473172913e-13,0.3999999999998483,0.014176097700852897
2011-09-16,2.286673122349443e-13,3.8376112182680806e-13,2.7017826775348266e-13,2.6111120320243193e-13,0.03180604990566438,0.3999999999981769,4.611743204376638e-13,0.39999999999911406,0.16819395009472088,7.188228104475325e-13
2011-09-23,8.853435636162863e-16,0.0,6.3320597616186036e-15,7.39754145154552e-15,0.20000000000004886,0.39999999999993086,0.0,3.727496875833711e-15,0.3999999999999963,6.648806054206432e-15
2011-09-30,1.6619522869549795e-15,2.692868870835378e-15,0.11329282597813133,3.088211147127151e-15,0.0,0.4,0.26231802531515697,0.0,0.22438914870670598,3.3262760194569395e-15
2011-10-07,0.0,0.05136958364362039,2.362130231388088e-17,4.776276472086049e-17,0.0,0.052126167528135994,0.32432146558201985,0.4,0.17218278324622413,9.683469041733856e-17
2011-10-14,0.0,0.0,0.20088625977301588,0.0,0.0,0.0,0.3280041291925993,0.4,0.07110961103522376,0.0
2011-10-21,0.0,0.0,0.26763843358604633,0.0,0.0,0.4,0.0,0.0,0.3323615664102747,0.0
2011-10-28,2.1728013848564505e-14,9.782920350835421e-14,0.13315644248999864,2.534868248442992e-14,1.1213544593294818e-13,0.0,0.3866304317378396,0.4,0.08021312577199873,2.3604861925365753e-14
2011-11-04,8.319368048726994e-16,0.0,1.655160517533822e-16,0.0,0.2071390520972804,0.1662249873983211,0.0,0.39999999999999925,0.2266359605043983,4.3638712604752583e-16
