,SPY,QQQ,IWM,EFA,EEM,AGG,LQD,TIP,GLD,VNQ
2011-04-01,3.3685471538262065e-13,3.261667354088293e-12,0.18076670243839454,2.6237258094088335e-13,3.1533664348561344e-13,0.3999999999928759,0.23911715948786033,4.159391903477229e-13,0.18011613807598534,2.917545626211497e-13
2011-04-08,3.317025281508062e-13,9.5522534037244e-13,0.18227522264446397,1.5304074971566298e-13,1.2866286764287548e-12,4.701597617579675e-13,0.3877777894523729,0.3612419949193,0.06870499298050048,1.6600720733015997e-13
2011-04-15,4.898317893681963e-14,3.982324371207874e-14,6.993730362517945e-14,2.2625621295309938e-14,0.0636496797268658,1.0014847545935125e-14,0.399999999999977,0.3727218965569125,0.16362842371602718,2.6064244958692726e-14
2011-04-22,0.0,7.903716082500569e-15,0.368443770207914,0.0,0.0,0.0,0.4,0.0,0.2315562297920352,0.0
2011-04-29,0.0,0.0,1.0667045979827155e-14,0.0,0.0,0.3999999999999921,0.19999999999999826,3.1537272793258353e-15,0.4,0.0
2011-05-06,0.0,0.0,0.0,1.4136176490347079e-16,0.39999999999999997,0.3641110068726573,9.512201695543074e-17,0.0,0.2358889931273441,7.101851183815151e-17
2011-05-13,0.0,0.052774335860006606,0.16054389841647787,0.0,0.0,0.3866817657238512,0.0,0.0,0.4,0.0
2011-05-20,0.0,0.3414214559425418,0.0,0.19010778847727705,0.0,0.0,0.0,0.4,0.06847075557800615,0.0
2011-05-27,0.20934870375562153,0.0,4.399227557032639e-15,2.354229082938136e-15,8.483613420185595e-15,0.15482774498945998,7.202574969198444e-15,0.39999999999999253,0.2358235512549016,2.3397782966665872e-15
2011-06-03,7.397913986004436e-15,0.0,0.1959277670822869,0.0,0.0,0.0607018816317555,0.0,0.4,0.34337035128592686,0.0
2011-06-10,1.067372444417775e-15,0.39999999999999414,2.973823206562026e-15,2.1949522522969952e-15,1.1230694056428962e-14,0.38757779295910816,6.161323949860653e-15,2.257534024393618e-15,0.2124222070408685,3.306361130507386e-15
2011-06-17,0.0,0.0,0.2932826711273049,0.0,0.0,0.0,0.0,0.4,0.306717328872469,0.0
2011-06-24,6.591949208711867e-17,1.0908513811214507e-16,0.06673210978321906,3.482067742867703e-17,4.715889815156207e-16,0.4,0.07281851499092866,0.012143607906776252,0.39999999999999974,0.04830576731907547
2011-07-01,2.155013399288554e-15,0.09060414388482457,2.6977856264507925e-15,1.424978502841879e-15,1.3668105048664335e-16,0.0,0.4,0.3716635319627769,0.13773232415238956,1.6655101243275045e-15
2011-07-08,0.0,0.0,0.0,0.15266888452201513,0.0,0.23756225980238058,0.0,0.4,0.2097688556756055,0.0
2011-07-15,0.0,0.07129898557385089,0.0,0.0,3.0332574882848556e-17,0.1443941767292341,3.452021986661061e-16,0.3999999999999999,0.38430683769691526,0.0
