Categoría: Todas las categorías

Mes,sell stocks: (Todo el mundo)
2004-01,20
2004-02,20
2004-03,13
2004-04,14
2004-05,15
2004-06,15
2004-07,16
2004-08,10
2004-09,16
2004-10,17
2004-11,20
2004-12,17
2005-01,10
2005-02,17
2005-03,12
2005-04,12
2005-05,16
2005-06,12
2005-07,15
2005-08,14
2005-09,11
2005-10,12
2005-11,15
2005-12,12
2006-01,15
2006-02,13
2006-03,16
2006-04,16
2006-05,13
2006-06,10
2006-07,12
2006-08,15
2006-09,13
2006-10,12
2006-11,10
2006-12,10
2007-01,13
2007-02,12
2007-03,12
2007-04,13
2007-05,14
2007-06,12
2007-07,14
2007-08,15
2007-09,13
2007-10,14
2007-11,14
2007-12,15
2008-01,20
2008-02,14
2008-03,15
2008-04,15
2008-05,13
2008-06,13
2008-07,16
2008-08,11
2008-09,23
2008-10,31
2008-11,18
2008-12,17
2009-01,13
2009-02,16
2009-03,20
2009-04,16
2009-05,15
2009-06,12
2009-07,12
2009-08,13
2009-09,15
2009-10,14
2009-11,14
2009-12,13
2010-01,14
2010-02,14
2010-03,14
2010-04,15
2010-05,15
2010-06,12
2010-07,11
2010-08,13
2010-09,12
2010-10,14
2010-11,14
2010-12,15
2011-01,16
2011-02,15
2011-03,16
2011-04,17
2011-05,13
2011-06,12
2011-07,14
2011-08,20
2011-09,13
2011-10,14
2011-11,12
2011-12,14
2012-01,15
2012-02,16
2012-03,14
2012-04,13
2012-05,15
2012-06,11
2012-07,11
2012-08,13
2012-09,14
2012-10,14
2012-11,14
2012-12,14
2013-01,13
2013-02,16
2013-03,16
2013-04,16
2013-05,16
2013-06,11
2013-07,13
2013-08,12
2013-09,18
2013-10,22
2013-11,18
2013-12,18
2014-01,21
2014-02,21
2014-03,20
2014-04,18
2014-05,16
2014-06,13
2014-07,14
2014-08,13
2014-09,16
2014-10,17
2014-11,15
2014-12,20
2015-01,17
2015-02,18
2015-03,18
2015-04,17
2015-05,15
2015-06,14
2015-07,16
2015-08,20
2015-09,16
2015-10,16
2015-11,16
2015-12,16
2016-01,23
2016-02,19
2016-03,18
2016-04,18
2016-05,15
2016-06,17
2016-07,17
2016-08,15
2016-09,15
2016-10,17
2016-11,22
2016-12,21
2017-01,21
2017-02,24
2017-03,23
2017-04,20
2017-05,19
2017-06,18
2017-07,18
2017-08,19
2017-09,18
2017-10,22
2017-11,25
2017-12,30
2018-01,31
2018-02,30
2018-03,22
2018-04,22
2018-05,19
2018-06,19
2018-07,19
2018-08,21
2018-09,23
2018-10,26
2018-11,21
2018-12,24
2019-01,21
2019-02,23
2019-03,23
2019-04,22
2019-05,20
2019-06,20
2019-07,20
2019-08,21
2019-09,19
2019-10,21
2019-11,22
2019-12,24
2020-01,28
2020-02,40
2020-03,90
2020-04,65
2020-05,56
2020-06,60
2020-07,45
2020-08,47
2020-09,39
2020-10,32
2020-11,41
2020-12,52
2021-01,96
2021-02,100
2021-03,55
2021-04,47
2021-05,48
2021-06,41
2021-07,33
2021-08,31
2021-09,30
2021-10,34
2021-11,37
2021-12,34
2022-01,42
2022-02,42
2022-03,40
2022-04,38
2022-05,33
2022-06,30
2022-07,25
2022-08,33
2022-09,29
2022-10,28
2022-11,28
2022-12,28
2023-01,30
2023-02,33
2023-03,29
2023-04,30
2023-05,27
2023-06,29
2023-07,31
2023-08,27
2023-09,28
2023-10,28
2023-11,32
2023-12,39
2024-01,40
2024-02,51
2024-03,47
2024-04,41
2024-05,38
2024-06,40
2024-07,38
2024-08,43
2024-09,37
2024-10,39
2024-11,53
2024-12,51
2025-01,50
2025-02,55
2025-03,52
2025-04,68
2025-05,39
2025-06,42
2025-07,53
2025-08,88
2025-09,86
2025-10,87
2025-11,52
