Categoría: Todas las categorías

Mes,unemployment: (Todo el mundo)
2004-01,9
2004-02,9
2004-03,8
2004-04,9
2004-05,8
2004-06,7
2004-07,7
2004-08,7
2004-09,8
2004-10,8
2004-11,7
2004-12,7
2005-01,8
2005-02,8
2005-03,7
2005-04,7
2005-05,6
2005-06,6
2005-07,7
2005-08,6
2005-09,7
2005-10,7
2005-11,7
2005-12,7
2006-01,8
2006-02,7
2006-03,6
2006-04,7
2006-05,6
2006-06,6
2006-07,6
2006-08,6
2006-09,6
2006-10,6
2006-11,6
2006-12,6
2007-01,8
2007-02,6
2007-03,6
2007-04,6
2007-05,6
2007-06,6
2007-07,6
2007-08,6
2007-09,6
2007-10,6
2007-11,6
2007-12,6
2008-01,8
2008-02,7
2008-03,7
2008-04,7
2008-05,7
2008-06,8
2008-07,8
2008-08,8
2008-09,9
2008-10,11
2008-11,13
2008-12,15
2009-01,19
2009-02,18
2009-03,19
2009-04,16
2009-05,16
2009-06,16
2009-07,17
2009-08,18
2009-09,16
2009-10,17
2009-11,19
2009-12,18
2010-01,20
2010-02,18
2010-03,19
2010-04,17
2010-05,16
2010-06,20
2010-07,26
2010-08,17
2010-09,15
2010-10,14
2010-11,16
2010-12,20
2011-01,17
2011-02,15
2011-03,12
2011-04,14
2011-05,13
2011-06,13
2011-07,13
2011-08,13
2011-09,12
2011-10,13
2011-11,12
2011-12,14
2012-01,16
2012-02,13
2012-03,12
2012-04,12
2012-05,11
2012-06,11
2012-07,13
2012-08,12
2012-09,12
2012-10,12
2012-11,13
2012-12,13
2013-01,14
2013-02,11
2013-03,10
2013-04,11
2013-05,9
2013-06,9
2013-07,11
2013-08,9
2013-09,10
2013-10,10
2013-11,9
2013-12,12
2014-01,14
2014-02,13
2014-03,12
2014-04,12
2014-05,10
2014-06,8
2014-07,8
2014-08,6
2014-09,7
2014-10,7
2014-11,7
2014-12,7
2015-01,8
2015-02,7
2015-03,7
2015-04,7
2015-05,6
2015-06,6
2015-07,6
2015-08,6
2015-09,6
2015-10,6
2015-11,6
2015-12,7
2016-01,7
2016-02,7
2016-03,6
2016-04,6
2016-05,6
2016-06,6
2016-07,6
2016-08,5
2016-09,5
2016-10,6
2016-11,6
2016-12,6
2017-01,8
2017-02,7
2017-03,6
2017-04,5
2017-05,5
2017-06,5
2017-07,5
2017-08,5
2017-09,5
2017-10,6
2017-11,5
2017-12,6
2018-01,7
2018-02,6
2018-03,5
2018-04,5
2018-05,5
2018-06,5
2018-07,5
2018-08,5
2018-09,4
2018-10,5
2018-11,5
2018-12,5
2019-01,7
2019-02,6
2019-03,5
2019-04,5
2019-05,5
2019-06,5
2019-07,5
2019-08,4
2019-09,5
2019-10,5
2019-11,5
2019-12,6
2020-01,6
2020-02,6
2020-03,43
2020-04,100
2020-05,70
2020-06,58
2020-07,59
2020-08,53
2020-09,45
2020-10,32
2020-11,26
2020-12,36
2021-01,44
2021-02,34
2021-03,34
2021-04,29
2021-05,28
2021-06,25
2021-07,22
2021-08,20
2021-09,15
2021-10,9
2021-11,8
2021-12,8
2022-01,9
2022-02,8
2022-03,7
2022-04,6
2022-05,5
2022-06,6
2022-07,6
2022-08,5
2022-09,5
2022-10,5
2022-11,5
2022-12,5
2023-01,6
2023-02,6
2023-03,5
2023-04,5
2023-05,5
2023-06,6
2023-07,5
2023-08,5
2023-09,5
2023-10,5
2023-11,5
2023-12,5
2024-01,7
2024-02,6
2024-03,6
2024-04,5
2024-05,5
2024-06,5
2024-07,6
2024-08,5
2024-09,5
2024-10,5
2024-11,5
2024-12,6
2025-01,6
2025-02,6
2025-03,6
2025-04,6
2025-05,5
2025-06,5
2025-07,6
2025-08,7
2025-09,8
2025-10,7
2025-11,5
